iter	Passed	Remaining
0	56	56029
1	56	28195
2	56	18893
3	57	14235
4	57	11442
5	57	9580
6	58	8254
7	58	7252
8	58	6477
9	59	5862
10	59	5363
11	60	4952
12	60	4596
13	60	4289
14	61	4020
15	61	3786
16	61	3577
17	62	3393
18	62	3232
19	63	3104
20	63	2969
21	64	2846
22	64	2732
23	64	2634
24	65	2539
25	65	2451
26	65	2369
27	66	2291
28	66	2221
29	66	2158
30	67	2095
31	67	2036
32	67	1981
33	67	1929
34	68	1880
35	68	1833
36	68	1790
37	69	1748
38	69	1709
39	69	1673
40	70	1639
41	70	1605
42	70	1574
43	71	1544
44	71	1514
45	71	1486
46	71	1459
47	72	1432
48	72	1407
49	72	1383
50	73	1359
51	73	1337
52	73	1315
53	73	1295
54	74	1274
55	74	1256
56	74	1238
57	75	1219
58	75	1203
59	75	1186
60	76	1172
61	76	1157
62	76	1142
63	77	1127
64	77	1116
65	77	1103
66	78	1090
67	78	1077
68	79	1067
69	79	1054
70	79	1042
71	79	1030
72	80	1018
73	80	1007
74	80	996
75	81	985
76	81	975
77	81	965
78	81	955
79	82	946
80	82	936
81	82	928
82	83	917
83	83	909
84	83	902
85	84	893
86	84	885
87	84	877
88	84	868
89	85	860
90	85	853
91	85	845
92	85	837
93	86	830
94	86	824
95	86	816
96	87	810
97	87	803
98	87	797
99	87	791
100	88	784
101	88	778
102	88	773
103	89	766
104	89	761
105	89	755
106	89	749
107	90	744
108	90	739
109	90	734
110	91	729
111	91	724
112	91	719
113	91	714
114	92	709
115	92	705
116	92	699
117	93	695
118	93	690
119	93	686
120	93	681
121	94	676
122	94	672
123	94	669
124	95	665
125	95	661
126	95	657
127	95	653
128	96	650
129	96	646
130	96	642
131	97	639
132	97	635
133	97	632
134	98	628
135	98	625
136	98	621
137	98	618
138	99	614
139	99	611
140	99	607
141	99	603
142	100	600
143	100	597
144	100	594
145	101	591
146	101	588
147	101	585
148	102	582
149	102	579
150	102	576
151	102	573
152	103	570
153	103	568
154	103	565
155	103	562
156	104	559
157	104	557
158	104	554
159	105	552
160	105	548
161	105	546
162	105	543
163	106	541
164	106	538
165	106	536
166	107	533
167	107	531
168	107	529
169	108	527
170	108	525
171	108	523
172	109	521
173	109	518
174	109	516
175	109	514
176	110	511
177	110	509
178	110	507
179	111	505
180	111	504
181	111	502
182	111	499
183	112	497
184	112	495
185	112	493
186	113	491
187	113	489
188	113	487
189	113	485
190	114	483
191	114	482
192	114	480
193	115	479
194	115	477
195	115	475
196	116	473
197	116	471
198	116	470
199	117	468
200	117	466
201	117	464
202	117	462
203	118	461
204	118	459
205	118	457
206	119	456
207	119	454
208	119	453
209	120	451
210	120	450
211	120	448
212	120	447
213	121	445
214	121	443
215	121	442
216	122	440
217	122	439
218	122	437
219	123	436
220	123	434
221	123	434
222	124	432
223	124	431
224	124	430
225	125	428
226	125	427
227	125	426
228	126	425
229	126	423
230	126	422
231	127	421
232	127	419
233	127	418
234	128	416
235	128	415
236	128	414
237	128	412
238	129	411
239	129	410
240	129	408
241	130	407
242	130	406
243	130	405
244	131	403
245	131	402
246	131	401
247	132	400
248	132	399
249	132	397
250	132	396
251	133	395
252	133	394
253	133	393
254	134	391
255	134	390
256	134	389
257	135	388
258	135	387
259	135	385
260	135	384
261	136	383
262	136	382
263	136	381
264	136	379
265	137	378
266	137	377
267	137	376
268	138	375
269	138	374
270	138	373
271	139	372
272	139	371
273	139	369
274	139	368
275	140	367
276	140	366
277	140	365
278	140	364
279	141	363
280	141	362
281	141	361
282	142	360
283	142	359
284	142	358
285	143	357
286	143	356
287	143	355
288	144	354
289	144	353
290	144	352
291	144	351
292	145	350
293	145	349
294	145	348
295	146	347
296	146	346
297	146	345
298	146	344
299	147	343
300	147	342
301	147	341
302	148	340
303	148	339
304	148	338
305	148	337
306	149	336
307	149	335
308	149	334
309	149	333
310	150	332
311	150	331
312	150	330
313	151	329
314	151	329
315	151	328
316	151	327
317	152	326
318	152	325
319	152	324
320	153	323
321	153	322
322	153	322
323	153	321
324	154	320
325	154	319
326	154	318
327	155	317
328	155	317
329	155	316
330	156	315
331	156	314
332	156	313
333	157	313
334	157	312
335	157	311
336	157	310
337	158	309
338	158	308
339	158	308
340	158	307
341	159	306
342	159	305
343	159	304
344	160	304
345	160	303
346	160	302
347	160	301
348	161	300
349	161	299
350	161	299
351	161	298
352	162	297
353	162	296
354	162	295
355	163	294
356	163	294
357	163	293
358	163	292
359	164	292
360	164	291
361	164	290
362	165	289
363	165	289
364	165	288
365	166	287
366	166	286
367	166	286
368	166	285
369	167	284
370	167	283
371	167	283
372	168	282
373	168	281
374	168	281
375	168	280
376	169	279
377	169	278
378	169	278
379	170	277
380	170	276
381	170	276
382	171	275
383	171	274
384	171	274
385	171	273
386	172	272
387	172	271
388	172	271
389	172	270
390	173	269
391	173	268
392	173	268
393	173	267
394	174	266
395	174	265
396	174	265
397	174	264
398	175	263
399	175	263
400	175	262
401	176	261
402	176	261
403	176	260
404	176	259
405	177	259
406	177	258
407	177	257
408	177	257
409	178	256
410	178	255
411	178	255
412	179	254
413	179	253
414	179	253
415	179	252
416	180	251
417	180	251
418	181	250
419	181	250
420	181	249
421	181	249
422	182	248
423	182	247
424	182	247
425	183	247
426	183	246
427	184	246
428	184	245
429	184	245
430	185	244
431	185	243
432	185	243
433	186	242
434	186	242
435	186	241
436	186	240
437	187	240
438	187	239
439	187	238
440	188	238
441	188	238
442	188	237
443	189	236
444	189	236
445	189	235
446	190	235
447	190	234
448	190	234
449	190	233
450	191	232
451	191	232
452	191	231
453	192	230
454	192	230
455	192	230
456	193	229
457	193	228
458	193	228
459	193	227
460	194	227
461	194	226
462	194	225
463	195	225
464	195	224
465	195	224
466	195	223
467	196	223
468	196	222
469	196	221
470	197	221
471	197	220
472	197	220
473	198	219
474	198	219
475	198	218
476	198	218
477	199	217
478	199	217
479	199	216
480	200	216
481	200	215
482	200	215
483	201	214
484	201	213
485	201	213
486	202	212
487	202	212
488	202	211
489	202	211
490	203	210
491	203	209
492	203	209
493	203	208
494	204	208
495	204	207
496	204	207
497	205	206
498	205	206
499	205	205
500	206	205
501	206	204
502	206	204
503	206	203
504	207	203
505	207	202
506	207	202
507	208	201
508	208	201
509	208	200
510	208	199
511	209	199
512	209	198
513	209	198
514	210	197
515	210	197
516	210	196
517	210	196
518	211	195
519	211	195
520	211	194
521	212	194
522	212	193
523	212	193
524	212	192
525	213	192
526	213	191
527	213	191
528	214	190
529	214	190
530	214	189
531	215	189
532	215	188
533	215	188
534	215	187
535	216	187
536	216	186
537	216	186
538	216	185
539	217	185
540	217	184
541	218	184
542	218	183
543	218	183
544	218	182
545	219	182
546	219	181
547	219	181
548	220	180
549	220	180
550	220	179
551	220	179
552	221	178
553	221	178
554	221	177
555	222	177
556	222	176
557	222	176
558	222	175
559	223	175
560	223	174
561	224	174
562	224	174
563	224	173
564	225	173
565	225	172
566	225	172
567	225	171
568	226	171
569	226	170
570	226	170
571	227	169
572	227	169
573	227	168
574	227	168
575	228	168
576	228	167
577	228	167
578	229	166
579	229	166
580	229	165
581	230	165
582	230	164
583	230	164
584	230	163
585	231	163
586	231	162
587	231	162
588	232	161
589	232	161
590	232	161
591	233	160
592	233	160
593	233	159
594	233	159
595	234	158
596	234	158
597	234	157
598	235	157
599	235	156
600	235	156
601	236	156
602	236	155
603	236	155
604	236	154
605	237	154
606	237	153
607	237	153
608	238	152
609	238	152
610	238	151
611	238	151
612	239	151
613	239	150
614	239	150
615	240	149
616	240	149
617	240	148
618	241	148
619	241	148
620	241	147
621	242	147
622	242	146
623	242	146
624	242	145
625	243	145
626	243	144
627	243	144
628	243	143
629	244	143
630	244	142
631	244	142
632	245	142
633	245	141
634	245	141
635	246	140
636	246	140
637	246	139
638	246	139
639	247	139
640	247	138
641	247	138
642	247	137
643	248	137
644	248	136
645	248	136
646	249	135
647	249	135
648	249	135
649	249	134
650	250	134
651	250	133
652	250	133
653	251	132
654	251	132
655	251	132
656	252	131
657	252	131
658	252	130
659	252	130
660	253	129
661	253	129
662	253	128
663	254	128
664	254	128
665	254	127
666	255	127
667	255	126
668	255	126
669	256	126
670	256	125
671	256	125
672	256	124
673	257	124
674	257	124
675	257	123
676	258	123
677	258	122
678	258	122
679	258	121
680	259	121
681	259	121
682	259	120
683	260	120
684	260	119
685	260	119
686	260	118
687	261	118
688	261	118
689	261	117
690	261	117
691	262	116
692	262	116
693	262	115
694	263	115
695	263	115
696	263	114
697	263	114
698	264	113
699	264	113
700	264	112
701	265	112
702	265	112
703	265	111
704	265	111
705	266	110
706	266	110
707	266	110
708	267	109
709	267	109
710	267	108
711	267	108
712	268	107
713	268	107
714	268	107
715	269	106
716	269	106
717	269	106
718	270	105
719	270	105
720	270	104
721	271	104
722	271	103
723	271	103
724	271	103
725	272	102
726	272	102
727	272	101
728	273	101
729	273	101
730	273	100
731	273	100
732	274	100
733	275	99
734	275	99
735	275	98
736	275	98
737	276	98
738	276	97
739	276	97
740	277	96
741	277	96
742	277	96
743	278	95
744	278	95
745	278	94
746	278	94
747	279	94
748	279	93
749	279	93
750	279	92
751	280	92
752	280	92
753	280	91
754	281	91
755	281	90
756	281	90
757	281	90
758	282	89
759	282	89
760	282	88
761	283	88
762	283	88
763	283	87
764	284	87
765	284	86
766	284	86
767	284	86
768	285	85
769	285	85
770	285	84
771	286	84
772	286	84
773	286	83
774	286	83
775	287	82
776	287	82
777	287	82
778	288	81
779	288	81
780	288	80
781	289	80
782	289	80
783	289	79
784	290	79
785	290	79
786	290	78
787	290	78
788	291	77
789	291	77
790	291	77
791	292	76
792	292	76
793	292	75
794	292	75
795	293	75
796	293	74
797	293	74
798	294	73
799	294	73
800	294	73
801	294	72
802	295	72
803	295	72
804	295	71
805	296	71
806	296	70
807	296	70
808	297	70
809	297	69
810	297	69
811	298	69
812	298	68
813	298	68
814	299	67
815	299	67
816	299	67
817	299	66
818	300	66
819	300	65
820	300	65
821	301	65
822	301	64
823	301	64
824	302	64
825	302	63
826	302	63
827	303	63
828	303	62
829	303	62
830	304	61
831	304	61
832	304	61
833	305	60
834	305	60
835	305	59
836	305	59
837	306	59
838	306	58
839	306	58
840	307	58
841	307	57
842	307	57
843	308	56
844	308	56
845	308	56
846	309	55
847	309	55
848	309	55
849	310	54
850	310	54
851	310	53
852	310	53
853	311	53
854	311	52
855	311	52
856	311	52
857	312	51
858	312	51
859	312	50
860	313	50
861	313	50
862	313	49
863	313	49
864	314	49
865	314	48
866	314	48
867	315	47
868	315	47
869	315	47
870	316	46
871	316	46
872	316	46
873	316	45
874	317	45
875	317	44
876	317	44
877	318	44
878	318	43
879	318	43
880	318	43
881	319	42
882	319	42
883	319	41
884	320	41
885	320	41
886	320	40
887	320	40
888	321	40
889	321	39
890	321	39
891	322	39
892	322	38
893	323	38
894	323	38
895	324	37
896	324	37
897	324	36
898	325	36
899	325	36
900	325	35
901	325	35
902	326	35
903	326	34
904	326	34
905	326	33
906	327	33
907	327	33
908	328	32
909	328	32
910	329	32
911	329	31
912	329	31
913	329	31
914	330	30
915	330	30
916	330	29
917	331	29
918	331	29
919	331	28
920	331	28
921	332	28
922	332	27
923	332	27
924	333	27
925	333	26
926	333	26
927	334	25
928	334	25
929	334	25
930	335	24
931	335	24
932	335	24
933	335	23
934	336	23
935	336	23
936	336	22
937	336	22
938	337	21
939	337	21
940	337	21
941	338	20
942	338	20
943	338	20
944	338	19
945	339	19
946	339	19
947	339	18
948	340	18
949	340	17
950	340	17
951	341	17
952	341	16
953	341	16
954	342	16
955	342	15
956	342	15
957	342	15
958	343	14
959	343	14
960	343	13
961	343	13
962	344	13
963	344	12
964	344	12
965	345	12
966	345	11
967	345	11
968	346	11
969	346	10
970	346	10
971	347	9
972	347	9
973	347	9
974	347	8
975	348	8
976	348	8
977	348	7
978	349	7
979	349	7
980	349	6
981	349	6
982	350	6
983	350	5
984	351	5
985	351	4
986	351	4
987	351	4
988	352	3
989	352	3
990	352	3
991	353	2
992	353	2
993	353	2
994	353	1
995	354	1
996	354	1
997	354	0
998	355	0
999	355	0
